EDDT, Max TemperatureF, Mean TemperatureF, Min TemperatureF,Max Dew PointF, MeanDew PointF, Min DewpointF, Max Humidity, Mean Humidity,  Min Humidity,  Max Sea Level PressureIn, Mean Sea Level PressureIn,  Min Sea Level PressureIn, Max VisibilityMiles,  Mean VisibilityMiles,  Min VisibilityMiles, Max Wind SpeedMPH,  Mean Wind SpeedMPH,  Max Gust SpeedMPH,PrecipitationIn,  CloudCover,  Events,  WindDirDegrees
1/1/2018,1,,-2,,,,,,,,,,,,,,,,,,,
1/2/2018,2,,-3,,,,,,,,,,,,,,,,,,,
1/3/2018,3,,-4,,,,,,,,,,,,,,,,,,,
1/4/2018,4,,-1,,,,,,,,,,,,,,,,,,,
1/5/2018,5,,-6,,,,,,,,,,,,,,,,,,,
1/6/2018,6,,0,,,,,,,,,,,,,,,,,,,
1/7/2018,7,,2,,,,,,,,,,,,,,,,,,,
1/8/2018,8,,-8,,,,,,,,,,,,,,,,,,,
1/9/2018,9,,-4,,,,,,,,,,,,,,,,,,,
1/10/2018,11,,,,,,,,,,,,,,,,,,,,,
1/12/2018,15,,2,,,,,,,,,,,,,,,,,,,
